DateFacturation_FK;Site_FK;Produit_FK;Client_FK;PrixCatalogue;Remise;CA;Marge;CoutDirectMatiere;CoutDirectMainOeuvre;CoutIndirect;Quantite;NumFacture
20210117;18;0;38;150.00;0.00;150.00;23.00;87.00;38.00;2.00;2.00;F1
20210115;18;0;43;270.00;14.00;75.00;7.00;40.00;27.00;1.00;3.00;F2
20210121;18;0;42;198.00;6.00;192.00;37.00;100.00;51.00;4.00;2.00;F2
20210117;18;0;37;63.00;3.00;60.00;14.00;31.00;14.00;1.00;1.00;F3
20210121;18;0;45;93.00;2.00;91.00;6.00;52.00;31.00;2.00;1.00;F4
20210117;18;0;40;91.00;3.00;88.00;20.00;48.00;18.00;2.00;1.00;F5
20210119;18;0;39;92.00;2.00;90.00;10.00;54.00;24.00;2.00;1.00;F6
20210121;18;0;40;779.00;0.00;779.00;319.00;358.00;93.00;9.00;1.00;F7
20210126;18;0;37;1515.00;0.00;1515.00;259.00;773.00;453.00;30.00;3.00;F8
20210122;18;0;36;80.00;1.00;79.00;31.00;27.00;20.00;1.00;1.00;F9
20210129;18;0;43;267.00;9.00;258.00;99.00;95.00;59.00;5.00;3.00;F10
20210124;18;0;43;1989.00;40.00;1950.00;409.00;897.00;606.00;38.00;3.00;F11
20210128;18;0;44;58.00;3.00;55.00;14.00;21.00;19.00;1.00;1.00;F2
20210130;18;0;39;714.00;36.00;678.00;228.00;312.00;130.00;8.00;1.00;F14
20210201;18;0;40;354.00;15.00;339.00;127.00;102.00;105.00;5.00;3.00;F12
20210201;18;0;38;60.00;0.00;60.00;9.00;36.00;14.00;1.00;1.00;F13
20210129;18;0;42;258.00;0.00;258.00;10.00;150.00;93.00;5.00;3.00;F14
20210131;18;0;42;231.00;5.00;225.00;37.00;117.00;67.00;4.00;3.00;F15
20210131;18;0;37;779.00;16.00;763.00;281.00;336.00;137.00;9.00;1.00;F16
20210204;18;0;45;118.00;3.00;116.00;44.00;49.00;22.00;1.00;2.00;F17
20210202;18;0;41;108.00;5.00;103.00;33.00;34.00;34.00;2.00;1.00;F18
20210204;18;0;38;222.00;5.00;216.00;19.00;127.00;67.00;3.00;3.00;F19
